bay_id,st_marker_id,status,location,lat,lon
3637,7590N,Unoccupied,"(-37.80556771137624, 144.9540120387018)",-37.80556771137624,144.9540120387018
5508,11949W,Unoccupied,"(-37.81509804827256, 144.9826358111394)",-37.81509804827256,144.9826358111394
5601,12221S,Unoccupied,"(-37.80945494058656, 144.97399416594155)",-37.80945494058656,144.97399416594155
5812,12552N,Unoccupied,"(-37.8158055554524, 144.98088079634482)",-37.8158055554524,144.98088079634482
3097,5250E,Unoccupied,"(-37.80506180495762, 144.95733500242486)",-37.80506180495762,144.95733500242486
1284,4476E,Unoccupied,"(-37.81293227279018, 144.95426076235793)",-37.81293227279018,144.95426076235793
5839,12565S,Unoccupied,"(-37.81604399396138, 144.98134599405873)",-37.81604399396138,144.98134599405873
4182,C6634,Present,"(-37.80848825554097, 144.95931239714707)",-37.80848825554097,144.95931239714707
3035,5136E,Present,"(-37.803019804394694, 144.95708108619985)",-37.803019804394694,144.95708108619985
8967,7867W,Unoccupied,"(-37.82634663628231, 144.9710563444774)",-37.82634663628231,144.9710563444774
5757,12431S,Present,"(-37.81190422205182, 144.97532416666604)",-37.81190422205182,144.97532416666604
3268,5826E,Unoccupied,"(-37.80676088168991, 144.9535219414902)",-37.80676088168991,144.9535219414902
3635,7586N,Unoccupied,"(-37.80558417130324, 144.95415795040003)",-37.80558417130324,144.95415795040003
5805,12538N,Unoccupied,"(-37.81575388301522, 144.9804096233853)",-37.81575388301522,144.9804096233853
5758,12433S,Unoccupied,"(-37.811912068922375, 144.97539496289204)",-37.811912068922375,144.97539496289204
3817,C5482,Unoccupied,"(-37.80730646410212, 144.9543725122746)",-37.80730646410212,144.9543725122746
6061,13044N,Unoccupied,"(-37.82109504413756, 144.94359313381324)",-37.82109504413756,144.94359313381324
3264,5820E,Unoccupied,"(-37.806897853481196, 144.953498051854)",-37.806897853481196,144.953498051854
5455,11862E,Present,"(-37.81244729284123, 144.9780009177689)",-37.81244729284123,144.9780009177689
5498,11929W,Present,"(-37.815611651439795, 144.9825483658929)",-37.815611651439795,144.9825483658929
3509,6663S,Present,"(-37.80881969006806, 144.95850779415798)",-37.80881969006806,144.95850779415798
5448,11848E,Present,"(-37.812805836600006, 144.97794075678263)",-37.812805836600006,144.97794075678263
3696,7660N,Unoccupied,"(-37.80495487459986, 144.95670063806824)",-37.80495487459986,144.95670063806824
8979,7891W,Unoccupied,"(-37.825247665661855, 144.9707237360832)",-37.825247665661855,144.9707237360832
5422,11795W,Present,"(-37.81106788692762, 144.97545979214533)",-37.81106788692762,144.97545979214533
5273,4507W,Unoccupied,"(-37.81171114451988, 144.9534480392092)",-37.81171114451988,144.9534480392092
3839,C5554,Unoccupied,"(-37.80653683016629, 144.9540234970279)",-37.80653683016629,144.9540234970279
4399,C7232,Unoccupied,"(-37.807859872182426, 144.95230085128213)",-37.807859872182426,144.95230085128213
5461,11876E,Present,"(-37.81069102956343, 144.9782943005934)",-37.81069102956343,144.9782943005934
5923,12810N,Unoccupied,"(-37.802824437407324, 144.9674792091353)",-37.802824437407324,144.9674792091353
5489,11901W,Present,"(-37.81016455233531, 144.97814572387844)",-37.81016455233531,144.97814572387844
4384,C7202,Unoccupied,"(-37.807619066478324, 144.95279678011752)",-37.807619066478324,144.95279678011752
4001,C6038,Unoccupied,"(-37.806169736607444, 144.95208450500195)",-37.806169736607444,144.95208450500195
5841,12569S,Unoccupied,"(-37.81605995958615, 144.9814878087895)",-37.81605995958615,144.9814878087895
5541,12015W,Unoccupied,"(-37.81329104696481, 144.98294512110553)",-37.81329104696481,144.98294512110553
8130,15160N,Unoccupied,"(-37.81663498932373, 144.98116356058125)",-37.81663498932373,144.98116356058125
5529,11991W,Unoccupied,"(-37.81401364214847, 144.98282073109584)",-37.81401364214847,144.98282073109584
5814,12556N,Unoccupied,"(-37.81582039584319, 144.98101517498233)",-37.81582039584319,144.98101517498233
5401,11768E,Present,"(-37.80989306166771, 144.97572600869802)",-37.80989306166771,144.97572600869802
3821,C5498,Unoccupied,"(-37.807211723869486, 144.9543295690596)",-37.807211723869486,144.9543295690596
5584,12202N,Unoccupied,"(-37.80927403563136, 144.9740444973502)",-37.80927403563136,144.9740444973502
5819,12566N,Unoccupied,"(-37.81585716353906, 144.98135152160313)",-37.81585716353906,144.98135152160313
5253,11531S,Unoccupied,"(-37.811967757887714, 144.95163890435862)",-37.811967757887714,144.95163890435862
3262,5816E,Unoccupied,"(-37.80694424322287, 144.95348980330635)",-37.80694424322287,144.95348980330635
3831,C5536,Unoccupied,"(-37.80672619347971, 144.95410969981918)",-37.80672619347971,144.95410969981918
5361,8903W,Unoccupied,"(-37.82409822525305, 144.96211501714058)",-37.82409822525305,144.96211501714058
5418,11787W,Unoccupied,"(-37.81129498543278, 144.97542422097922)",-37.81129498543278,144.97542422097922
8997,C7802,Unoccupied,"(-37.82575486527303, 144.9710755191141)",-37.82575486527303,144.9710755191141
5922,12809S,Unoccupied,"(-37.80297901819951, 144.96714913656768)",-37.80297901819951,144.96714913656768
5459,11872E,Unoccupied,"(-37.81079078758333, 144.97828110478292)",-37.81079078758333,144.97828110478292
8128,15156N,Present,"(-37.816650137434166, 144.98130396822356)",-37.816650137434166,144.98130396822356
5692,12361S,Unoccupied,"(-37.810108799940096, 144.98014148137943)",-37.810108799940096,144.98014148137943
5420,11791W,Unoccupied,"(-37.8111814359484, 144.97544200658723)",-37.8111814359484,144.97544200658723
4377,C7188,Unoccupied,"(-37.80751916412699, 144.95300253082087)",-37.80751916412699,144.95300253082087
4585,8312E,Unoccupied,"(-37.825260011771256, 144.96822951021875)",-37.825260011771256,144.96822951021875
5766,12449S,Unoccupied,"(-37.81199063463346, 144.97611265531617)",-37.81199063463346,144.97611265531617
5400,11766E,Present,"(-37.80992531283371, 144.9757208795518)",-37.80992531283371,144.9757208795518
3044,5147W,Present,"(-37.80285324569802, 144.9568774084001)",-37.80285324569802,144.9568774084001
5537,12007W,Present,"(-37.813498645452, 144.98290903858867)",-37.813498645452,144.98290903858867
8970,7873W,Unoccupied,"(-37.82574443958312, 144.97090597652834)",-37.82574443958312,144.97090597652834
7960,15008E,Unoccupied,"(-37.81714459719475, 144.98205771671468)",-37.81714459719475,144.98205771671468
1528,1892N,Unoccupied,"(-37.81372065885267, 144.97230264023773)",-37.81372065885267,144.97230264023773
